p_code,title,uri,apply_start,apply_end,start_age,end_age,contents,application_target,dor,si,crawling_date,expiration_flag
3658,육아기 근로시간 단축,https://www.jobaba.net/sprtPlcy/info/view.do?seq=3658,2018-01-01 00:00:00,2018-12-31 00:00:00,,,만 8세이하 또는 초등학교 2학년 이하의 자녀가 있는 근로자가 근무시간을 단축하여 일하는 제도.(육아휴직과 합산하여 1년이내),"○ 만 8세 이하 또는 초등학교 2학년 이하의 자녀(입양 자녀 포함)가 있는 남녀 근로자 모두 (육아휴직과 동일,『남녀고용평등과일·가정양립지원에관한법률』제19조의2제1항)",전국,전체,2019-11-21 09:07:39,1
3659,수원시 내 방을 잡아라 대학생 무료 기숙사 지원,https://www.jobaba.net/sprtPlcy/info/view.do?seq=3659,2018-01-08 00:00:00,2018-01-19 18:00:00,,,이메일접수(baek-am@naver.com),"2년이상 수원에 주소를 두고 서울 소재 대학에 재학중인 대학(원)생,서울소재 대학에 재학중이면서 주거지원이 필요한 전국의 대학(원)생",경기,수원시,2019-12-02 22:27:51,1
3662,경기도 지자체 수어통역도우미 배치,https://www.jobaba.net/sprtPlcy/info/view.do?seq=3662,2018-02-01 00:00:00,2018-12-31 00:00:00,,,현장접수,농아인,경기,전체,2019-11-21 09:07:39,1
3663,용인시  모든 출산가정에 산후도우미 지원,https://www.jobaba.net/sprtPlcy/info/view.do?seq=3663,2018-01-01 00:00:00,2018-12-31 00:00:00,,,방문접수,용인시에 출산 예정일 1년전부터 주민등록상 주소지를 두고 신청일 현재 지속적으로 거주하는 산모,경기,용인시,2019-11-21 09:07:39,1
3664,부천시 청년일자리 쿠폰 ,https://www.jobaba.net/sprtPlcy/info/view.do?seq=3664,2018-01-01 00:00:00,2018-12-31 00:00:00,,,방문접수,"청년고용기업 (제조업, 서비스업 등 관내 소재 업체)",경기,부천시,2019-11-20 14:30:13,1
3665,경기도 송파학사 입사 희망 대학생 모집,https://www.jobaba.net/sprtPlcy/info/view.do?seq=3665,2018-01-15 00:00:00,2018-01-22 00:00:00,,,"방문접수, 우편접수","○ 신규 입사생 : 입사생 선발 공고일 현재 경기도에 1년 이상 계속하여 주민등록이 되어 있는 자로서 서울특별시 또는 경기도 소재 대학(교)의 신입생 및 재학생 중 다음 각 호의 요건을 갖춘 자- 재학생 : 직전 2개 학기의 평점평균이 B학점 이상인 자- 신입생 : 대학수학능력시험 성적 또는 고등학교 3학년 성적이 상위 100분의20 이내인 자- 문화예술․체육분야 등에서 상위 입상하여 경기도를 빛낸 자(신입생에 한함)- 도내 아동양육시설 출신 자○ 재 입사생 : 입사생 선발 공고일 현재 송파학사에 입사중인 자로서 재 입사 희망 자(단, 연속하여 B학점 미만인 자와 입사생 선발 공고일 현재 경기도에 1년 미만 주민등록이 되어 있는 자는 재입사 불가) ",경기,전체,2019-12-02 22:27:51,1
3669,수원시 취업준비 청년 면접정장 대여 ,https://www.jobaba.net/sprtPlcy/info/view.do?seq=3669,2018-04-01 00:00:00,2018-12-31 00:00:00,29.0,,온라인 접수,"수원 거주 청년구직자1,000명(고교졸업예정자~만29세)",경기,수원시,2019-11-20 22:11:56,1
3670,수원시 취업준비 청년 교통비 지원,https://www.jobaba.net/sprtPlcy/info/view.do?seq=3670,2018-03-12 00:00:00,2018-03-23 18:00:00,19.0,34.0,"방문접수, 온라인접수",수원시 거주 중위소득 100% 이하 만 19~29세 미취업 청년,경기,수원시,2019-11-21 09:07:39,1
3671,수원시 신중년 디딤돌사업,https://www.jobaba.net/sprtPlcy/info/view.do?seq=3671,2018-01-15 00:00:00,2018-01-31 00:00:00,,,방문접수,1954년~1968년생 중 공고일 현재 수원시에 주민등록이 되어 있는 실업 및 퇴직한자 중 부부합산 1년 재산세 50만원 이하 납부자(※ 연령판단 기준일 : 사업 개시월(2018. 1월)),경기,수원시,2019-11-20 22:11:56,1
3673,2019 문화누리카드,https://www.jobaba.net/sprtPlcy/info/view.do?seq=3673,2019-02-01 00:00:00,2019-11-30 00:00:00,,,"주민센터 방문, 인터넷 누리집(홈페이지 참고)",6세 이상의 기초생활수급자 및 차상위 계층 대상자,전국,전체,2019-11-20 14:30:13,1
3674,경기도 지역서점 인증제,https://www.jobaba.net/sprtPlcy/info/view.do?seq=3674,2018-01-11 00:00:00,2018-02-02 18:00:00,,,이메일접수(book@gdca.or.kr),도내 지역서점(276개소/‘2017 경기도 지역서점 실태조사’),경기,전체,2019-11-20 14:30:13,1
3675,경기도 중소기업 데이터 유출방지 솔루션(DLP) 지원,https://www.jobaba.net/sprtPlcy/info/view.do?seq=3675,2018-01-02 00:00:00,2018-12-31 00:00:00,,,이메일접수,경기도 소재 중소기업(중소기업법 기본법 제2조 부합),경기,전체,2019-11-20 14:30:13,1
